[DEBUG][2017-02-12 21:35:51,910][org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter]Looking for controller advice: WebApplicationContext for namespace 'spring-servlet': startup date [Sun Feb 12 21:35:51 CST 2017]; root of context hierarchy
[DEBUG][2017-02-12 21:35:51,912][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean 'org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter#0'
[DEBUG][2017-02-12 21:35:51,912][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'mvcUriComponentsContributor'
[DEBUG][2017-02-12 21:35:51,912][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean 'mvcUriComponentsContributor'
[DEBUG][2017-02-12 21:35:51,913][org.springframework.beans.factory.support.DefaultListableBeanFactory]Eagerly caching bean 'mvcUriComponentsContributor' to allow for resolving potential circular references
[DEBUG][2017-02-12 21:35:51,913][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean '(inner bean)#241eb589'
[DEBUG][2017-02-12 21:35:51,917][org.springframework.beans.factory.support.DefaultListableBeanFactory]Returning cached instance of singleton bean 'mvcContentNegotiationManager'
[DEBUG][2017-02-12 21:35:51,917][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean '(inner bean)#57e1eebb#1'
[DEBUG][2017-02-12 21:35:51,917][org.springframework.beans.factory.support.DefaultListableBeanFactory]Returning cached instance of singleton bean 'org.springframework.format.support.FormattingConversionServiceFactoryBean#0'
[DEBUG][2017-02-12 21:35:51,918][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean '(inner bean)#57e1eebb#1'
[DEBUG][2017-02-12 21:35:51,918][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean '(inner bean)#425598e9#1'
[DEBUG][2017-02-12 21:35:51,918][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean '(inner bean)#425598e9#1'
[DEBUG][2017-02-12 21:35:51,918][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean '(inner bean)#651dd0bb#1'
[DEBUG][2017-02-12 21:35:51,920][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean '(inner bean)#651dd0bb#1'
[DEBUG][2017-02-12 21:35:51,920][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean '(inner bean)#773e41b5#1'
[DEBUG][2017-02-12 21:35:51,920][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean '(inner bean)#773e41b5#1'
[DEBUG][2017-02-12 21:35:51,920][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean '(inner bean)#570efa04#1'
[DEBUG][2017-02-12 21:35:51,921][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean '(inner bean)#570efa04#1'
[DEBUG][2017-02-12 21:35:51,921][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean '(inner bean)#4936d89b#1'
[DEBUG][2017-02-12 21:35:51,922][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean '(inner bean)#4936d89b#1'
[DEBUG][2017-02-12 21:35:51,923][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean '(inner bean)#5b7dce68#1'
[DEBUG][2017-02-12 21:35:51,923][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean '(inner bean)#5b7dce68#1'
[DEBUG][2017-02-12 21:35:51,924][org.springframework.beans.factory.support.DefaultListableBeanFactory]Invoking afterPropertiesSet() on bean with name '(inner bean)#241eb589'
[DEBUG][2017-02-12 21:35:51,925][org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter]Looking for controller advice: WebApplicationContext for namespace 'spring-servlet': startup date [Sun Feb 12 21:35:51 CST 2017]; root of context hierarchy
[DEBUG][2017-02-12 21:35:51,925][org.springframework.beans.factory.support.DefaultListableBeanFactory]Returning eagerly cached instance of singleton bean 'mvcUriComponentsContributor' that is not fully initialized yet - a consequence of a circular reference
